"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-DEC-2023","AXISBANK","Axis Bank Limited","CITY OF NEW YORK GROUP TRUST","BUY","1,77,358","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","CITY OF NEW YORK GROUP TRUST","BUY","6,98,009","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","CITY OF NEW YORK GROUP TRUST","BUY","3,12,001","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","CITY OF NEW YORK GROUP TRUST","BUY","3,84,252","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","CUSTODY BANK OF JAPAN LTD. AS TRUSTEE FOR DEVELOPING COUNTRIES HIGH-QUALITY GROWTH EQUITY FUND","BUY","1,64,813","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","DANSKE INVEST SICAV - GLOBAL EMERGING MARKETS","BUY","32,300","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIAM GROUP TRUST FOR EMPLOYEE BENEFIT PLANS FIAM SELECT EMERGING MARKETS EQUITY COMMINGLED POOL","BUY","2,65,100","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIAM SELECT EMERGING MAR EQ FD LP","BUY","36,100","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY INVESTMENT FUNDS IX - FIDELITY SELECT EMERGING MARKETS EQUITIES FUND","BUY","3,400","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY INVESTMENT TRUST FIDELITY SAI SUSTAINABLE EMERGING MARKETS EQUITY FUND","BUY","1,089","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY INVESTMENT TRUST FIDELITY SERIES EMERGING MARKETS FUND","BUY","5,97,100","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY INVESTMENT TRUST FIDELITY SUSTAINABLE EMERGING MARKETS EQUITY FUND","BUY","502","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY RUTLAND SQUARE TRUST II STRATEGIC ADVISERS EMERGING MARKETS FUND","BUY","1,10,600","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY RUTLAND SQUARE TRUST II STRATEGIC ADVISERS FID EMG MARKETS FUND","BUY","2,22,800","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","FIDELITY SELECT EMERGING MARKETS EQUITY INSTITUTIONAL TRUST","BUY","15,300","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","GOLDMAN SACHS (SINGAPORE) PTE.- ODI","BUY","30,20,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","GOLDMAN SACHS INVESTMENTS MAURITIUS  I LTD","BUY","24,23,016","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","GOVERNMENT PENSION FUND GLOBAL","BUY","7,42,831","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","GOVT OF THE PROVINCE OF ALBERTA MGD BY UBS GL ASSET MGT","BUY","8,23,714","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD","BUY","7,15,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","INTEGRAL INVESTMENTS SOUTH ASIA IV","SELL","83,50,294","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","INTERNATIONAL OPPORTUNITY FUND I","BUY","96,260","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","INVESTERINGSFORENINGEN DANSKE INVEST NYE MARKEDER KL","BUY","67,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","INVESTERINGSFORENINGEN DANSKE INVEST NYE MARKEDER-AKKUMULERENDE KL","BUY","29,200","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","KIM PRIVATE PRIME GLOBAL EMERGING EQUITY MASTER INVESTMENT TRUST 1","BUY","55,754","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","LGPS CENTRAL EM EQUITY ACTIVE MULTI MANAGER FD A SUB FD OF LGPS CENTRAL AUTHORISED CONTRACTUAL SCHEM","BUY","4,40,521","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MERCER QIF FUND PLC-MERCER INVESTMENT FUND 1-UBS GLOBAL ASSET MANAGEMENT (UK) LTD","BUY","6,58,300","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY ASIA SINGAPORE PTE - ODI","BUY","39,75,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY FUNDS UK  DEVELOPING OPPORTUNITY FUND","BUY","8,370","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INSTITUTIONAL FUND  INC. ASIA OPPORTUNITY PORTFOLIO","BUY","29,837","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INSTITUTIONAL FUND INC INTERNATIONAL OPPORTUNITY PORTFOLIO","BUY","9,61,631","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO","BUY","14","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO","BUY","29","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO","BUY","76","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INVESTMENT FUNDS ASIA OPPORTUNITY FUND","BUY","9,06,673","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND","BUY","20","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND","BUY","54","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MORGAN STANLEY INVESTMENT FUNDS DEVELOPING OPPORTUNITY FUND","BUY","39,440","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","MTBJ LTD AS TRUSTEE FOR UBS (JP) EM HALO MOTHER FUND","BUY","22,513","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","NEPC INVESTMENT LLC- NEPC EMERGING MARKETS EQUITY SERIES","BUY","2,300","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","OPTIMAS GLOBAL ALPHA FUND","BUY","6,00,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","ORGANIZATION FOR SMALL&MEDIUM ENTERPRISES AND REGIONAL INNOVATION JAPAN 18440-2142","BUY","83,708","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","SOCIETE GENERALE - ODI","BUY","57,75,000","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","STATE OF MICHIGAN RETIREMENT SYSTEM MORGAN STANLEY INVESTMENT MANAGEMENT INC.","BUY","77,880","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","STICHTING PENSIOENFONDS DSM NEDERLAND","BUY","4,37,497","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","STICHTING PENSIOENFONDS SABIC","BUY","1,83,443","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","THE SULTANATE OF OMAN MINISTRY OF DEFENCE PENSION FUND","BUY","66,789","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS (US) GROUP TRUST","BUY","16,98,959","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS EMERGING MARKETS EQUITY FUND","BUY","1,56,650","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS EMERGING MARKETS EQUITY OPPORTUNITY FUND","BUY","6,76,039","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS FUND MANAGEMENT (SWITZERLAND) AG ON BEHALF OF SIHL INSTITUTIONAL FUND-AKTIEN EMERGING MARKETS","BUY","1,54,587","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS FUND MANAGEMENT (SWITZERLAND) AG ON BEHALF OF UBS (CH) INSTITUTIONAL FUND-EQUITIES EM GLOBAL","BUY","6,25,123","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS GLOBAL EMERGING MARKETS OPPORTUNITY FUND","BUY","20,49,785","1,119.70","-"
"13-DEC-2023","AXISBANK","Axis Bank Limited","UBS INVESTMENT FUNDS ICVC UBS GLOBAL EMERGING MARKETS EQUITY FUND","BUY","17,26,557","1,119.70","-"
"14-DEC-2023","ZENTEC","Zen Technologies Limited","KISHORE DUTT ATLURI","SELL","2,50,000","725.00","-"
"14-DEC-2023","ZENTEC","Zen Technologies Limited","RAVI KUMAR MIDATHALA","SELL","2,50,000","725.00","-"
"14-DEC-2023","ZENTEC","Zen Technologies Limited","TARA DUTT ATLURI","SELL","15,00,000","725.00","-"
"14-DEC-2023","ZENTEC","Zen Technologies Limited","TATA AIA LIFE INSURANCE COMPANY LIMITED","BUY","20,00,000","725.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","ALPS/KOTAK INDIA GROWTH FUND","BUY","1,72,992","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD","BUY","57,225","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","GOVERNMENT OF SINGAPORE","BUY","3,59,693","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","HDFC MUTUAL FUND","BUY","57,225","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","ICICI PRUDENTIAL LIFE INSURANCE (IPLCIL-U)","BUY","1,14,112","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","INTERNATIONAL MONETARY FUND (IN RESPECT OF THE INTERNATIONAL MONETARY FUND RETIRED STAFF BENEFITS IN","BUY","9,234","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","INTERNATIONAL MONETARY FUND (IN RESPECT OF THE INTERNATIONAL MONETARY FUND STAFF RETIREMENT PLAN)","BUY","33,334","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","KOTAK FUNDS-INDIA ESG FUND","BUY","46,164","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","KOTAK MAHINDRA MUTUAL FUND","BUY","3,79,839","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","MONETARY AUTHORITY OF SINGAPORE","BUY","44,457","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","57,225","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","MULTIPLES PRIVATE EQUITY FUND II LLP","SELL","1,99,667","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","NIPPON INDIA MUTUAL FUND","BUY","1,14,112","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL","BUY","6,66,183","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","PLENTY CI FII I LIMITED","SELL","1,71,675","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","PLENTY CI FUND I LIMITED","SELL","77,394","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","PLENTY PRIVATE EQUITY FII I LIMITED","SELL","7,62,499","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","PLENTY PRIVATE EQUITY FUND I LIMITED","SELL","10,76,258","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","PUBLIC SECTOR PENSION INVESTMENT BOARD","BUY","1,18,652","1,753.00","-"
"15-DEC-2023","PVRINOX","PVR INOX Limited","SOCIETE GENERALE","BUY","57,046","1,753.00","-"
"15-DEC-2023","SWANENERGY","Swan Energy Limited","ALBULA INVESTMENT FUND LTD","SELL","12,00,000","508.50","-"
"15-DEC-2023","SWANENERGY","Swan Energy Limited","ARIAL HOLDINGS 1","BUY","12,00,000","508.50","-"
"15-DEC-2023","SWANENERGY","Swan Energy Limited","KASTURI VINTRADE PRIVATE LIMITED","SELL","2,00,000","503.25","-"
"15-DEC-2023","SWANENERGY","Swan Energy Limited","SAMCO MUTUAL FUND(SAMCO ACTIVE MOMENTUM FUND)","BUY","2,00,000","503.25","-"
"18-DEC-2023","PRICOLLTD","Pricol Limited","FRANKLIN TEMPLETON MUTUAL FUND","BUY","14,40,922","347.00","-"
"18-DEC-2023","PRICOLLTD","Pricol Limited","PHI CAPITAL SOLUTIONS LLP","SELL","14,40,922","347.00","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","ALBULA INVESTMENT FUND LTD","SELL","2,60,000","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","CRESTA FUND LTD","SELL","20,00,000","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","FLOWERS VALLEY PVT LTD","BUY","4,00,000","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","GLOBALWORTH SECURITIES LIMITED","BUY","6,80,500","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","HSBC MUTUAL FUND","BUY","4,19,500","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","MADHUKAR SHETH","BUY","2,60,000","429.10","-"
"19-DEC-2023","JINDALSAW","Jindal Saw Limited","SOCIETE GENERALE","BUY","5,00,000","429.10","-"
"20-DEC-2023","ASTRAL","Astral Limited","ABU DHABI INVESTMENT AUTHORITY","BUY","5,25,000","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","GOVERNMENT OF SINGAPORE","BUY","8,83,690","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","KAIRAV CHEMICALS LIMITED","SELL","10,60,000","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","2,20,000","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","MORGAN STANLEY INSTITUTIONAL FUND INC EMERGING MARKETS PORTFOLIO","BUY","13,22,890","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","NATIONAL PENSION SYSTEM (NPS) TRUST SBI","BUY","1,05,830","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","NIPPON INDIA MUTUAL FUND","BUY","12,00,000","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","RELIANCE LIFE INSURANCE CO LTD","BUY","1,05,830","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","SAUMYA POLYMERS LLP","SELL","36,20,737","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED","BUY","52,917","1,889.80","-"
"20-DEC-2023","ASTRAL","Astral Limited","TARA EMERGING ASIA LIQUID FUND","BUY","2,64,580","1,889.80","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS ASSET MANAGER LLP","BUY","15,90,450","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS ASSET MANAGER LLP","BUY","1,46,270","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS DIVERSIFIED ALPHA FUND","BUY","1,81,810","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS DIVERSIFIED ALPHA FUND - 2","BUY","1,81,810","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS EMERGING OPPORTUNITIES FUND - 1","BUY","5,45,450","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS GROWTH FUND - 1","BUY","4,54,550","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","ABAKKUS GROWTH FUND-2","BUY","3,63,630","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","AL MEHWAR COMMERCIAL INVESTMENTS L.L.C. - (NOOSA)","BUY","4,36,030","1,103.60","-"
"20-DEC-2023","SHRIPISTON","Shriram Pist. & Ring Ltd","K S KOLBENSCHMIDT GMBH","SELL","39,00,000","1,103.60","-"
"21-DEC-2023","NYKAA","FSN E Commerce Ventures","KARAN SWAMI","SELL","6,09,000","165.00","-"
"21-DEC-2023","NYKAA","FSN E Commerce Ventures","MANINDER SINGH SWANI","BUY","6,09,000","165.00","-"
"22-DEC-2023","DALBHARAT","Dalmia Bharat Limited","DALMIA BHARAT REFRACTORIES LIMITED","BUY","6,53,000","2,201.00","-"
"22-DEC-2023","DALBHARAT","Dalmia Bharat Limited","KESHAV POWER PRIVATE LIMITED","SELL","6,53,000","2,201.00","-"
"22-DEC-2023","MOTHERSON","Samvrdhna Mthrsn Intl Ltd","RAJAT JAIN","SELL","10,75,000","93.05","-"
"22-DEC-2023","MOTHERSON","Samvrdhna Mthrsn Intl Ltd","RENU SEHGAL TRUST","BUY","10,75,000","93.05","-"
"22-DEC-2023","NYKAA","FSN E Commerce Ventures","KARAN SWAMI","SELL","6,02,000","166.40","-"
"22-DEC-2023","NYKAA","FSN E Commerce Ventures","MANINDER SINGH SWANI","BUY","6,02,000","166.40","-"
"22-DEC-2023","VGUARD","V-Guard Industries Limite","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","35,00,000","286.00","-"
"22-DEC-2023","VGUARD","V-Guard Industries Limite","CHITTILAPPILLY THOMAS KOCHUOUSEPH","SELL","45,00,000","286.00","-"
"22-DEC-2023","VGUARD","V-Guard Industries Limite","MOTILAL OSWAL MUTUAL FUND","BUY","10,00,000","286.00","-"
"26-DEC-2023","LUMAXTECH","Lumax Auto Technologies L","ASIA INVESTMENT CORPORATION MAURITIUS LTD","SELL","28,11,262","386.00","-"
"26-DEC-2023","LUMAXTECH","Lumax Auto Technologies L","GRIFFIN GROWTH FUND VCC","BUY","28,11,262","386.00","-"
"27-DEC-2023","AMIORG","Ami Organics Limited","DHWANI GIRISHKUMAR CHOVATIA","SELL","86,000","1,163.25","-"
"27-DEC-2023","AMIORG","Ami Organics Limited","VAGHASIA CHETANKUMAR CHHAGANLAL","BUY","86,000","1,163.25","-"
"28-DEC-2023","ZYDUSWELL","Zydus Wellness Limited","SBI MUTUAL FUND","BUY","3,90,000","1,632.00","-"
"28-DEC-2023","ZYDUSWELL","Zydus Wellness Limited","THREPSI CARE LLP","SELL","7,80,000","1,632.00","-"
"28-DEC-2023","ZYDUSWELL","Zydus Wellness Limited","ZYDUS FAMILY TRUST","BUY","3,90,000","1,632.00","-"
"29-DEC-2023","DALBHARAT","Dalmia Bharat Limited","DALMIA BHARAT REFRACTORIES LIMITED","BUY","2,40,000","2,290.00","-"
"29-DEC-2023","DALBHARAT","Dalmia Bharat Limited","KESHAV POWER PRIVATE LIMITED","SELL","2,40,000","2,290.00","-"
"29-DEC-2023","RAMCOIND","Ramco Industries Ltd","NALINA RAMALAKSHMI","SELL","7,20,000","215.00","-"
"29-DEC-2023","RAMCOIND","Ramco Industries Ltd","THE RAMCO CEMENTS LIMITED","BUY","7,20,000","215.00","-"
"11-JAN-2022","RUPA","Rupa & Company Ltd","ABAKKUS ASSET MANAGER LLP","BUY","14,45,000","465.50","-"
"11-JAN-2022","RUPA","Rupa & Company Ltd","ABAKKUS GROWTH FUND-2","BUY","8,61,000","465.50","-"
"11-JAN-2022","RUPA","Rupa & Company Ltd","ZIYAN DEVELOPERS LLP","SELL","23,06,000","465.50","-"
"12-JAN-2022","TATAMTRDVR","Tata Motors DVR 'A' Ord","RAKESH RADHEYSHYAM JHUNJHUNWALA","BUY","12,50,000","255.00","-"
"12-JAN-2022","TATAMTRDVR","Tata Motors DVR 'A' Ord","RARE ENTERPRISES","SELL","12,50,000","255.00","-"
"20-JAN-2022","IBULHSGFIN","Indiabulls Hsg Fin Ltd","JHUNJHUNWALA RAKESH","BUY","35,00,000","219.00","-"
"20-JAN-2022","IBULHSGFIN","Indiabulls Hsg Fin Ltd","JHUNJHUNWALA REKHA","BUY","15,00,000","219.00","-"
"20-JAN-2022","IBULHSGFIN","Indiabulls Hsg Fin Ltd","RARE ENTERPRISES","SELL","15,00,000","219.00","-"
"20-JAN-2022","IBULHSGFIN","Indiabulls Hsg Fin Ltd","RARE ENTERPRISES","SELL","35,00,000","219.00","-"
"28-JAN-2022","GANECOS","Ganesha Ecosphere Limited","MCAP INDIA FUND LIMITED","SELL","5,50,000","585.00","-"
"28-JAN-2022","GANECOS","Ganesha Ecosphere Limited","ROHAN GUPTA","BUY","2,00,000","585.00","-"
"28-JAN-2022","GANECOS","Ganesha Ecosphere Limited","SECUROCROP SECURITIES INDIA PRIVATE LIMITED","BUY","3,50,000","585.00","-"
"01-FEB-2022","DLF","DLF Limited","STICHTING DEPOSITARY APG TACTICAL REAL ESTATE POOL","SELL","19,52,581","390.90","-"
"01-FEB-2022","DLF","DLF Limited","STICHTING PENSIOENFONDS ABP","BUY","19,52,581","390.90","-"
"10-FEB-2022","CHEMCON","Chemcon Special Chem Ltd","KAMAL AGGARWAL MINAL","SELL","5,10,000","341.00","-"
"10-FEB-2022","CHEMCON","Chemcon Special Chem Ltd","KAMALKUMAR RAJENDRA AGGARWAL","BUY","5,10,000","341.00","-"
"14-FEB-2022","MOTILALOFS","Motilal Oswal Financial S","MOTILAL OSWAL","SELL","3,35,000","905.70","-"
"14-FEB-2022","MOTILALOFS","Motilal Oswal Financial S","PASSIONATE INVESTMENT MANAGEMENT PRIVATE LIMITED","BUY","6,70,000","905.70","-"
"14-FEB-2022","MOTILALOFS","Motilal Oswal Financial S","RAAMDEO AGRAWAL","SELL","3,35,000","905.70","-"
"15-FEB-2022","INDNIPPON","India Nippon Elect Ltd","HARITA TRADE & SERVICES PVT LTD","SELL","3,97,042","448.50","-"
"15-FEB-2022","INDNIPPON","India Nippon Elect Ltd","LUCAS INDIAN SERVICE LTD","BUY","8,89,042","448.50","-"
"15-FEB-2022","INDNIPPON","India Nippon Elect Ltd","SUNDARAM MUTUAL FUND","SELL","4,92,000","448.50","-"
"15-FEB-2022","SHRIRAMCIT","Shriram City Union Financ","SHRIRAM FINANCIAL VENTURES (CHENNAI) PRIVATE LIMITED","SELL","4,88,383","1,669.00","-"
"15-FEB-2022","SHRIRAMCIT","Shriram City Union Financ","SHRIRAM OWNERSHIP TRUST","BUY","4,88,383","1,669.00","-"
"07-MAR-2022","HGS","Hinduja Global Sols Ltd","AASIA EXPORTS","SELL","8,14,490","1,130.00","-"
"07-MAR-2022","HGS","Hinduja Global Sols Ltd","HINDUJA REALTY VENTURES LIMITED","BUY","8,14,490","1,130.00","-"
"09-MAR-2022","HGS","Hinduja Global Sols Ltd","AASIA CORPORATION LLP","SELL","4,17,809","1,130.00","-"
"09-MAR-2022","HGS","Hinduja Global Sols Ltd","AASIA EXPORTS","SELL","6,00,000","1,130.00","-"
"09-MAR-2022","HGS","Hinduja Global Sols Ltd","HINDUJA GROUP LIMITED","BUY","4,17,809","1,130.00","-"
"09-MAR-2022","HGS","Hinduja Global Sols Ltd","HINDUJA REALTY VENTURES LIMITED","BUY","6,00,000","1,130.00","-"
"10-MAR-2022","ASTRON","Astron Paper Bord Mil Ltd","DWARKESH FINANCE LIMITED","SELL","27,60,000","41.85","-"
"10-MAR-2022","ASTRON","Astron Paper Bord Mil Ltd","VYANKTESH CORRUGATORS PRIVATE LIMITED","BUY","27,60,000","41.85","-"
"11-MAR-2022","AUROPHARMA","Aurobindo Pharma Ltd.","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","BUY","2,50,294","630.40","-"
"11-MAR-2022","AUROPHARMA","Aurobindo Pharma Ltd.","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","SELL","2,50,294","630.40","-"
"15-MAR-2022","HATSUN","Hatsun Agro Product Ltd.","CHANDRAMOGAN R G","BUY","2,08,000","1,194.00","-"
"15-MAR-2022","HATSUN","Hatsun Agro Product Ltd.","MALABAR INDIA FUND LIMITED","SELL","1,19,999","1,194.00","-"
"15-MAR-2022","HATSUN","Hatsun Agro Product Ltd.","MALABAR VALUE FUND","SELL","88,001","1,194.00","-"
"15-MAR-2022","SANGHIIND","Sanghi Industries Ltd","ANANDAM ENTERPRISES","BUY","49,98,000","44.50","-"
"15-MAR-2022","SANGHIIND","Sanghi Industries Ltd","NAVODYA ENTERPRISES","SELL","49,98,000","44.50","-"
"15-MAR-2022","SRTRANSFIN","Shriram Trans Fin Co. Ltd","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","BUY","1,87,140","1,112.70","-"
"15-MAR-2022","SRTRANSFIN","Shriram Trans Fin Co. Ltd","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","SELL","1,87,140","1,112.70","-"
"17-MAR-2022","PVR","PVR Limited","AAMER KRISHAN BIJLI","SELL","81,783","1,701.95","-"
"17-MAR-2022","PVR","PVR Limited","NAYANA BIJLI","SELL","1,03,000","1,701.95","-"
"17-MAR-2022","PVR","PVR Limited","NIHARIKA BIJLI","BUY","1,84,783","1,701.95","-"
"17-MAR-2022","SBIN","State Bank of India","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","SELL","4,38,688","492.75","-"
"17-MAR-2022","SBIN","State Bank of India","PZENA VALUE FUNDS PLC/PZENA EMERGING MARKETS VALUE FUND","BUY","4,38,688","492.75","-"
"21-MAR-2022","HGS","Hinduja Global Sols Ltd","AASIA EXPORTS","SELL","6,00,000","1,090.00","-"
"21-MAR-2022","HGS","Hinduja Global Sols Ltd","HINDUJA REALTY VENTURES LIMITED","BUY","6,00,000","1,090.00","-"
"21-MAR-2022","SHANKARA","Shankara Bldg Product Ltd","APL APOLLO MART LIMITED","BUY","10,00,000","755.00","-"
"21-MAR-2022","SHANKARA","Shankara Bldg Product Ltd","SUKUMAR SRINIVAS","SELL","10,00,000","755.00","-"
"23-MAR-2022","BAJAJFINSV","Bajaj Finserv Limited","SANJALI BAJAJ","BUY","27,600","16,400.00","-"
"23-MAR-2022","BAJAJFINSV","Bajaj Finserv Limited","SANJIVNAYAN BAJAJ","SELL","55,200","16,400.00","-"
"23-MAR-2022","BAJAJFINSV","Bajaj Finserv Limited","SIDDHANTNAYAN BAJAJ","BUY","27,600","16,400.00","-"
"25-MAR-2022","BUTTERFLY","Btrfly Gandhi Appl Ltd","CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED","BUY","98,33,754","1,403.00","-"
"25-MAR-2022","BUTTERFLY","Btrfly Gandhi Appl Ltd","LLM APPLIANCES PRIVATE LIMITED","SELL","28,67,774","1,403.00","-"
"25-MAR-2022","BUTTERFLY","Btrfly Gandhi Appl Ltd","SESHADRI V M","SELL","6,91,776","1,403.00","-"
